x,t=5.00e-02s,t=1.00e+00s,t=1.00e+01s,t=1.00e+02s
4.623115577889446923e-03,7.904795927022659331e-41,7.904795927022659331e-41,7.904795927022659331e-41,7.904795927022659331e-41
4.673366834170854765e-03,-2.118073467781683123e-41,-2.118073467781683123e-41,-2.118073467781683123e-41,-2.118073467781683123e-41
4.723618090452261740e-03,5.675333375254417436e-42,5.675333375254417436e-42,5.675333375254417436e-42,5.675333375254417436e-42
4.773869346733668716e-03,-1.520693659130270734e-42,-1.520693659130270734e-42,-1.520693659130270734e-42,-1.520693659130270734e-42
4.824120603015075691e-03,4.074666723547928088e-43,4.074666723547928088e-43,4.074666723547928088e-43,4.074666723547928088e-43
4.874371859296482666e-03,-1.091798391365983662e-43,-1.091798391365983662e-43,-1.091798391365983662e-43,-1.091798391365983662e-43
4.924623115577889641e-03,2.925450860804195059e-44,2.925450860804195059e-44,2.925450860804195059e-44,2.925450860804195059e-44
4.974874371859296616e-03,-7.838684144123432698e-45,-7.838684144123432698e-45,-7.838684144123432698e-45,-7.838684144123432698e-45
5.025125628140703592e-03,2.100358954395191328e-45,2.100358954395191328e-45,2.100358954395191328e-45,2.100358954395191328e-45
5.075376884422110567e-03,-5.627867708657855226e-46,-5.627867708657855226e-46,-5.627867708657855226e-46,-5.627867708657855226e-46
5.125628140703517542e-03,1.507975333448381335e-46,1.507975333448381335e-46,1.507975333448381335e-46,1.507975333448381335e-46
5.175879396984924517e-03,-4.040588236980898403e-47,-4.040588236980898403e-47,-4.040588236980898403e-47,-4.040588236980898403e-47
5.226130653266331492e-03,1.082667132458586911e-47,1.082667132458586911e-47,1.082667132458586911e-47,1.082667132458586911e-47
5.276381909547738468e-03,-2.900983844327417114e-48,-2.900983844327417114e-48,-2.900983844327417114e-48,-2.900983844327417114e-48
5.326633165829145443e-03,7.773125287305729832e-49,7.773125287305729832e-49,7.773125287305729832e-49,7.773125287305729832e-49
5.376884422110553285e-03,-2.082792596391077669e-49,-2.082792596391077669e-49,-2.082792596391077669e-49,-2.082792596391077669e-49
5.427135678391960261e-03,5.580799021296965297e-50,5.580799021296965297e-50,5.580799021296965297e-50,5.580799021296965297e-50
5.477386934673367236e-03,-1.495363377518993649e-50,-1.495363377518993649e-50,-1.495363377518993649e-50,-1.495363377518993649e-50
5.527638190954774211e-03,4.006794765931823320e-51,4.006794765931823320e-51,4.006794765931823320e-51,4.006794765931823320e-51
5.577889447236181186e-03,-1.073612242860664680e-51,-1.073612242860664680e-51,-1.073612242860664680e-51,-1.073612242860664680e-51
5.628140703517588161e-03,2.876721457811546763e-52,2.876721457811546763e-52,2.876721457811546763e-52,2.876721457811546763e-52
5.678391959798995137e-03,-7.708114732170953711e-53,-7.708114732170953711e-53,-7.708114732170953711e-53,-7.708114732170953711e-53
5.728643216080402112e-03,2.065373154671381656e-53,2.065373154671381656e-53,2.065373154671381656e-53,2.065373154671381656e-53
5.778894472361809087e-03,-5.534123993034782269e-54,-5.534123993034782269e-54,-5.534123993034782269e-54,-5.534123993034782269e-54
5.829145728643216062e-03,1.482856901718381267e-54,1.482856901718381267e-54,1.482856901718381267e-54,1.482856901718381267e-54
5.879396984924623037e-03,-3.973283926672614724e-55,-3.973283926672614724e-55,-3.973283926672614724e-55,-3.973283926672614724e-55
5.929648241206030013e-03,1.064633083857282110e-55,1.064633083857282110e-55,1.064633083857282110e-55,1.064633083857282110e-55
5.979899497487436988e-03,-2.852661989833324821e-56,-2.852661989833324821e-56,-2.852661989833324821e-56,-2.852661989833324821e-56
6.030150753768843963e-03,7.643647892996205731e-57,7.643647892996205731e-57,7.643647892996205731e-57,7.643647892996205731e-57
6.080402010050251806e-03,-2.048099400501351214e-57,-2.048099400501351214e-57,-2.048099400501351214e-57,-2.048099400501351214e-57
6.130653266331658781e-03,5.487839331502344088e-58,5.487839331502344088e-58,5.487839331502344088e-58,5.487839331502344088e-58
6.180904522613065756e-03,-1.470455023863194549e-58,-1.470455023863194549e-58,-1.470455023863194549e-58,-1.470455023863194549e-58
6.231155778894472731e-03,3.940053355411513116e-59,3.940053355411513116e-59,3.940053355411513116e-59,3.940053355411513116e-59
6.281407035175879706e-03,-1.055729022075401551e-59,-1.055729022075401551e-59,-1.055729022075401551e-59,-1.055729022075401551e-59
6.331658291457286682e-03,2.828803743283002780e-60,2.828803743283002780e-60,2.828803743283002780e-60,2.828803743283002780e-60
6.381909547738693657e-03,-7.579720222411772141e-61,-7.579720222411772141e-61,-7.579720222411772141e-61,-7.579720222411772141e-61
6.432160804020100632e-03,2.030970115422753442e-61,2.030970115422753442e-61,2.030970115422753442e-61,2.030970115422753442e-61
6.482412060301507607e-03,-5.441941771866402574e-62,-5.441941771866402574e-62,-5.441941771866402574e-62,-5.441941771866402574e-62
